,BDEP,TPO,HL,BHT,RPM,TOR,DEPT,WOB,Annotation
1607130841308,5042.278,13.472773901493415,521.2019864948269,39.749,0.0,0.0,5795.817,14.69,on_slips
1607130841816,5042.278,23.51131131829243,520.4459865144161,39.762,0.0,0.0,5795.817,15.44,on_slips
1607130842326,5042.266,21.662107057303142,519.959986527009,39.762,0.0,0.0,5795.817,15.93,on_slips
1607130842834,5042.266,14.529462050630157,518.47798656541,39.762,0.0,0.0,5795.817,17.41,on_slips
1607130843341,5042.265,20.077074833598036,518.047986576552,39.762,0.0,0.0,5795.817,17.84,on_slips
1607130843849,5042.265,22.71879520643988,517.9799865783141,39.761,0.0,0.0,5795.817,17.91,on_slips
1607130844359,5042.265,23.51131131829243,518.7299865588803,39.751,0.0,0.0,5795.817,17.16,on_slips
1607130844866,5042.276,25.62468761656591,519.2439865455618,39.742,0.0,0.0,5795.817,16.64,on_slips
1607130845374,5042.276,12.944429826925049,520.2699865189765,39.732,0.0,0.0,5795.817,15.62,on_slips
1607130845881,5042.276,24.0396553928608,520.5799865109439,39.732,0.0,0.0,5795.817,15.31,on_slips
1607130846389,5042.296,21.133762982734773,521.2659864931685,39.713,0.0,0.0,5795.817,14.62,on_slips
1607130846796,5042.296,26.15303169113428,521.3099864920284,39.713,0.0,0.0,5795.817,14.58,on_slips
1607130847303,5042.315,14.529462050630157,520.4359865146752,39.702,0.0,0.0,5795.817,15.45,on_slips
1607130847811,5042.315,19.020386684461297,519.6859865341089,39.692,0.0,0.0,5795.817,16.2,on_slips
1607130848322,5042.335,19.548730759029663,517.8639865813198,39.683,0.0,0.0,5795.817,18.02,on_slips
1607130848830,5042.335,22.71879520643988,516.8279866081641,39.674,0.0,0.0,5795.817,19.06,on_slips
1607130849337,5042.363,25.62468761656591,512.2839867259064,39.655,0.0,0.0,5795.817,23.6,on_slips
